--------------------------------
STUDENT HEADER :
El Bechir El Hadj 
Student number : 300294124
--------------------------------
0 : 2176
1 : 2781
2 : 2707
3 : 9843
4 : 4719
5 : 1097
6 : 2456
7 : 5447
8 : 2394
9 : 4764
10 : 8754
11 : 4697
12 : 130
13 : 8505
14 : 797
15 : 5326
16 : 3829
17 : 4096
18 : 903
19 : 1699
20 : 8628
21 : 4490
22 : 4957
23 : 7123
24 : 4630
25 : 5300
26 : 9899
27 : 5963
28 : 4472
29 : 5453
30 : 5207
31 : 5559
32 : 5300
33 : 2102
34 : 7058
35 : 5841
36 : 5842
37 : 5184
38 : 5023
39 : 4677
40 : 8307
41 : 4643
42 : 5224
43 : 6302
44 : 5428
45 : 8979
46 : 5880
47 : 5641
48 : 5213
49 : 5084
50 : 5653
51 : 6123
52 : 5673
53 : 8612
54 : 9081
55 : 7019
56 : 4903
57 : 5211
58 : 7237
59 : 6834
60 : 5278
61 : 7401
62 : 6560
63 : 6321
64 : 5635
65 : 9081
66 : 7915
67 : 6857
68 : 8134
69 : 5877
70 : 6124
71 : 8875
72 : 6889
73 : 7646
74 : 7364
75 : 1244
76 : 7903
77 : 8578
78 : 9208
79 : 6070
80 : 7451
81 : 3086
82 : 9164
83 : 6005
84 : 8894
85 : 8354
86 : 9151
87 : 8881
88 : 7098
89 : 7627
90 : 9258
91 : 8896
92 : 8356
93 : 8978
94 : 8419
95 : 4239
96 : 7512
97 : 8825
98 : 5460
99 : 8082
La precision est de : 83.0%
Total runtime : 120
Average runtime : 1.2
